issue_place_raw,n_charters
Han herredsting (?),1
Hanhals,1
Hannover,1
Hansühn,1
Hapsela,1
Haraldsted,1
Hardbo bygdeting,1
Hardeberga gård,1
Hardsyssel bygdeting,1
Harlebeke,1
Harre herredsting,1
Harvestehude kloster,1
Hasle herredsting,1
Hassing herredsting,1
Haverslev kirke,1
Headington,1
Heidelberg slot,1
Heisterbach,1
Hellum herred,1
Helmstedt,1
Helsingborg byting,1
Helsinge,1
Henne,1
Hereford,1
Hermannsdorf,1
Herrenfähre,1
Herrengrebin,1
Herrevad,1
Herrisvad kloster,1
Herstal,1
Hertford borgen,1
Hessel,1
Hiddensee kloster,1
Hillerslev,1
Hillerødholm,1
Hind herredsting,1
Hjarup,1
Hjelmseryds kirke,1
Hjelmslev herredsting,1
Hjerm herredsting,1
Hohen-Vicheln,1
Hohenstein,1
Holbek (Nordfriesland),1
Holbro herredsting,1
Holeby,1
Holebygård,1
Holma,1
Holmans herredsting,1
Homborgsund,1
Horns herredsting og Sjællands landsting,1
Hornum herred,1
Hornum herredsting,1
Horsens Gråbrødreklosters kirkegård,1
Hovlbjærg herredsting,1
Hubbrechting,1
Humleore,1
Husby,1
Husum,1
Hven,1
Hvetlanda,1
Hviding kirkegård,1
Härlanda,1
Hårby,1
Högsäter,1
Höreda,1
Höxter,1
Højer herredsting,1
Højet,1
Højst,1
Hørby (Sørbymagle?),1
I Skåne,1
Iersleuæ,1
Ingelheim,1
Ingelstads herredsting,1
Ingåsa,1
Inowrocław,1
Isles-les-Villenoy,1
Itzehoe kloster,1
Itzehoe],1
Ivrea,1
Jarschenberg landsting,1
Jasenitz,1
Jellingsyssels ting,1
Jersö,1
Jerusalem,1
Jever,1
Jonkoping,1
K[alø],1
Kalemäe,1
Kalleby,1
Kallies,1
Kalmar slot,1
Kalmar],1
Kannikeboligen i Viborg,1
Kannizar,1
Kappelgaarde,1
Karise,1
Kassel,1
Katslösa,1
Kavelsdorf,1
Keldholm,1
King's Enham,1
King's Lynn,1
Kingsbury,1
Kingston i Surrey,1
Kirkegården i Brenderup,1
Kirken i Ringsted,1
Kirkerup,1
Kisa Kirke,1
Kischau,1
Klingstrup,1
Klinteholm,1
Klostret Prüm,1
Kobrow,1
Kolasetter,1
Kolberg,1
Koykere,1
Kragelund,1
Kristrup birketing,1
Kronstadt,1
Kyritz,1
Kærbylund,1
Kærstrup,1
Königsberg,1
Købelev,1
København Gråbrødrekloster,1
København],1
Køln,1
Landsberg,1
Landshut,1
Landstinget i Halmstad,1
Langeland,1
Langelands Nr. herredsting,1
Langen-Jarchow,1
Langesøhus,1
Langstoft,1
Lankis,1
Le Gros Dizy,1
Leangasi,1
Leeds,1
Leicester,1
Lemvig,1
Leske,1
Lewes,1
Lidingö,1
Lille,1
Lindberga,1
Lindholm?,1
Lingen,1
Litjenburg,1
Livron-sur-Drôme,1
Ljungby,1
Lokutoriet i [Maribo kloster],1
Lollands albue,1
Longchamp-les-Bastogne,1
Louviers,1
Lowicz,1
Lucera,1
"Lund, sommersynoden",1
Lund. St. Laurentii kirke,1
Lunde byting,1
Lunde landsting,1
Lundekirkens søndre kor,1
Lunden,1
Lunds domkirke,1
Lunholm,1
Lviv,1
Lyby,1
Lyby kirke,1
Lychen,1
Lynderup,1
Lyneborg,1
Lyon?,1
Läckö,1
"Låstrup, Rinds herred",1
Lødøse,1
Lübeck 44a,1
Maaslev,1
Malchin,1
Malmø Byting,1
Malmø ting,1
Mantua og Firenze,1
Mariakirken i Oslo,1
Marieborg (ty. Marienberg) ved Flensborg,1
Marienberg ved Flensborg,1
Markerup,1
Marlborough,1
Marsberg,1
Masnedsund,1
Massow,1
Meersen,1
Meklenburg,1
Melnacum,1
Mestlin,1
Meyenburg,1
Middelburg,1
Middelfart byting,1
Moesgård,1
Moldesund,1
Montargis,1
Montau,1
Monteux,1
Mors,1
Mors Nørre herredsting,1
Mors Sønder herredsting,1
Morsø Nørre herredsting,1
Morsø Sønder herredsting,1
Morsø Sønderherredsting,1
Mortlake,1
Mulstrup,1
Munkholm,1
Musenbeke,1
Mâle ved Brügge,1
Møllerup,1
Mønge,1
Møns landsting,1
Münster,1
Nakskov Helligåndskapel,1
Narva,1
Naum,1
Naumburg,1
Neidenburg,1
Neu-Kalen,1
Neubukow,1
Neuenburg,1
Neuenkamp,1
Neuhaus,1
Neumiinster,1
Neumünster-Bordesholm,1
Neustadt,1
Nicosia,1
Nidaros,1
Nijmegen,1
Niløse kirke,1
Nintona,1
Nirnberg,1
Nor,1
Norberg,1
Nordborg,1
Nordhausen,1
Norrköping,1
Northeim,1
Noves,1
Nybøl herredsting,1
Nydala kloster,1
Nygård,1
Nykoping,1
Nyköbing,1
Nykøbing eller Nyborg?,1
Nykøbing på Falster,1
Nykøbing slot,1
Nykøping,1
Näs kirke,1
Näsbyholm,1
Näset,1
Nær Stigsnæs,1
Nær Svaneholm,1
Næstved st. Peders kloster,1
Nørholm,1
Nørlyng herredsting,1
Nørre Djurs herredsting,1
Nørre Tranders,1
Nørre-Åby,1
Nørrejylland (Viborg) landsting,1
Nørresundby,1
Obertheres,1
Odense byting,1
Odense. St. Knuds kirke,1
Oels,1
Ofen (Budapest),1
Olstorp,1
Ommer sysselting,1
Omø,1
Opager,1
Oranienburg,1
Ordensborgen Segewold,1
Ordensborgen Wenden,1
Ordrup,1
Orebro,1
Osnabrück,1
Osterburg,1
Oswaldesdun,1
Oxelösund havn,1
Oxie herredsting,1
Paa broen v. Görne,1
Paddeborg,1
Padise kloster,1
Padova,1
Palestrina stift,1
Palombara Sabina,1
Parchim,1
Paris Klostret St.-Denis,1
Pedersborg,1
Penskowo,1
Perret,1
Petegem,1
Pinneberg,1
Plélan,1
Polchow,1
Pontefract,1
Pontoise,1
Pouligny,1
Pritzwalk,1
Priwall,1
Pron,1
Præstø,1
Pärnau,1
På borgen i Havn,1
Pöl,1
Quedlinburg,1
Quévy,1
R[oskilde],1
Ralswieck,1
Rastede,1
Rathenow (Ratkau?),1
Ratkau,1
Ravsted,1
Regensburg,1
Reinfeld kloster,1
Reinstorf,1
Reval],1
Ribe Gråbrødrekloster,1
Ribe domkirkes højkor,1
Ribe domkirkes kirkegård,1
Riberhus,1
Ribniz,1
Riga],1
Ringkøbing,1
"Ringsted, Sjællands landsting",1
Ringsted. Vor Frue kirke.,1
Riseberga,1
Roggenhausen,1
"Rom, Lateranet",1
"Rom, Maria Maggiore",1
"Rom, S. Maria Maggiore",1
"Rom, S. Pietro",1
"Rom, Sankt Peter",1
"Rom, Santo Spirito in Sassia",1
"Rom, Sta. Maria Maggiore",1
Rom. Aventin,1
Rom. Peterskirken,1
Roma kloster på Gotland,1
Ronneburg slot,1
Ronneby,1
Rosendal,1
Roskilde Sankt Clara Kloster,1
Roskilde domkirke,1
Roskilde?,1
Rossared,1
Rostok,1
Rouen,1
Rougsø herredsting,1
Ruchow,1
Rudkøbing,1
Runö i Rigabugten,1
Ry,1
Ryslinge,1
Räfsnäs,1
Rönö slot,1
Rødby,1
Rødding herredsting,1
Rønne,1
Rügenwalde,1
S. Crisogono i Rom,1
