navn,name_base,art,layers,n_units,n_versions,earliest_fra,latest_til,ambiguous,spread_km,lat,lon,candidates
Tjagvad Ejerlav,Tjagvad,Ejerlav,Ejerlav,1,1,1000-01-01,9999-12-31,no,0.0,56.252876,8.671032,
Tjebberup Ejerlav,Tjebberup,Ejerlav,Ejerlav,1,1,1000-01-01,9999-12-31,no,0.0,55.705617,11.773438,
Tjele Ejerlav,Tjele,Ejerlav,Ejerlav,1,2,1000-01-01,9999-12-31,no,0.0,56.509647,9.628712,
Tjele Hede Ejerlav,Tjele Hede,Ejerlav,Ejerlav,1,1,1812-12-31,9999-12-31,no,0.0,56.50726,9.655329,
Tjele Kommune,Tjele,Kommune,Kommune,1,3,1970-04-01,2006-12-31,no,0.0,56.510578,9.607265,
Tjele Sogn,Tjele,Sogn,Sogn,1,2,1000-01-01,9999-12-31,no,0.0,56.50363,9.609908,
Tjele-Nørre Vinge Sognekommune,Tjele-Nørre Vinge,Sognekommune,Sognekommune,1,2,1842-01-01,1970-03-31,no,0.0,56.509353,9.62478,
Tjennemarke Ejerlav,Tjennemarke,Ejerlav,Ejerlav,1,2,1000-01-01,9999-12-31,no,0.0,54.812721,11.349488,
Tjerrild Ejerlav,Tjerrild,Ejerlav,Ejerlav,1,1,1000-01-01,9999-12-31,no,0.0,56.372545,10.465082,
Tjærby Ejerlav,Tjærby,Ejerlav,Ejerlav,1,3,1000-01-01,9999-12-31,no,0.0,56.472749,10.108589,
Tjæreborg Ejerlav,Tjæreborg,Ejerlav,Ejerlav,1,2,1000-01-01,9999-12-31,no,0.0,55.465769,8.586313,
Tjæreborg Sogn,Tjæreborg,Sogn,Sogn,1,3,1000-01-01,9999-12-31,no,0.0,55.467205,8.578197,
Tjæreborg Sognekommune,Tjæreborg,Sognekommune,Sognekommune,1,1,1921-04-01,1970-03-31,no,0.0,55.467205,8.578243,
