issue_place_raw,n_charters
"Castrum S. Petri, Bologna",1
Sättila,1
Uppsala kyrkogård,1
Lagatorp,1
”Smedeby”,1
Oppunda hd:s tingsställe,1
Repelä,1
Repelä by,1
Siende härads tingsställe,1
Rizlo ting,1
Snevringe hd:s tingsställe,1
Tortuna tingsställe,1
Eksta,1
Hagby,1
Mellösa härads tingsställe,1
Tingsstället Eklöt,1
Lammas by,1
Stynaborg,1
Eura-Åminne,1
Thæga,1
Halstad,1
Gerdslöv,1
Elgaryd,1
Randhem,1
Salzburg,1
"Strängnäs, domkyrkans norra port",1
Skåfteby,1
Långhundra hd:s tingsställe,1
Tuhundra hd:s tingsställe,1
Skärlunda tingsställe,1
Tuna i (Öster-)Åkers socken,1
Morkjær,1
Marghanes,1
Tuna i (Öster-)åkers socken,1
”Thæflesrums” ting,1
”Ryzla” ting,1
Torsberga,1
Valko by,1
Skolasta (nu Marieberg),1
Vittene i Lena sn,1
Tullus i Näskotts sn,1
Högnetorp,1
”Öklytha” ting,1
”Öklittha” ting,1
Söderby i Munsö sn,1
Via,1
Snevringe hundratting,1
”Lööt prope Lijnkopinge”,1
”Tribek”,1
Pitkämäki by,1
Tingsstället i Tenala sn,1
”Helfstad”,1
Tingsstället Stalberg,1
Skatna tingsställe,1
Rönsberg,1
”Wathnya”,1
Väster Rekarne hd:s tingsställe,1
Gåseholm,1
Eklööt,1
Lina,1
"Vargarn (i Lista sn, Västra Rekarne hd)",1
Vordingsborgs slott,1
Kåveta,1
Rangkulla,1
Mellplana,1
”Mellplana”,1
”Karlstorp”,1
Flatarydh,1
”Foseta”,1
Trögds härads ting,1
Tängene,1
Trögd,1
”vid gamla Sigtuna”,1
Slätthult,1
”Agord” i Billebergs sn,1
(vid Roskilde),1
”Bærem”,1
Stalbergs tingsställe,1
Vengarn,1
Öslöf,1
Lina (nu Lidhem),1
”Callingborgh” (Kalundborg),1
Räntemäki,1
”Langmansboo”,1
Kalundborg - se nedan,1
Torp i Medelpad,1
”Thötö”,1
Tegnesta,1
”...castadh”,1
Stenkyrka (på Gotland),1
Rynks tingsställe,1
Tolko by,1
Wäija by,1
”Hestry”,1
Sköns kyrka i Medelpad,1
Eplaholm,1
[Syon kloster],1
Sattsarp,1
Thun,1
Jönåkers hd:s tingsställe,1
Amundshytta,1
Väla,1
Järna i Gryts sn,1
Vemo häradsting,1
Skarsholm,1
”Sommarsættræ”,1
Kumo landsting,1
Kolhöga,1
Ellsunds tingsställe,1
Väster-Rekarne tingsställe,1
Esrom kloster,1
Ålhem,1
”Nafverstad”,1
”Perthorp”,1
Norderåsen i Häggenås socken,1
Rinkesta,1
Västra härads tingsställe,1
Ljungs kyrka,1
Tingsstället Ingasa,1
Saxköbing,1
Baholma ting,1
Brunnsholm,1
Fulham,1
Knista häradsting,1
Slottet Sesswegen i Riga stift,1
”Tryningie näss”,1
Orihpää,1
Högnalöff,1
Målla,1
[Syon],1
Zutphen,1
Harderwyk,1
”Vemersunde”,1
Vranh??,1
Doesburg,1
”Norhvitinge” gård,1
Nijmegen,1
”Bredhastad”,1
”Häggelåker”,1
"”Skuruboda” (Skurebo), på tinget",1
"”Skuroboda” (Skurebo), tinget",1
Varsta,1
Ro(g)slösa,1
Hafne (Köpenhamn),1
Över-Rönö,1
Årtrede,1
Goslar,1
Töretuna ting (Tortuna),1
Landeryds kyrka,1
Öcknebo häradsting,1
Lagmansting i Åsunda härad,1
Stömme (i Delsbo),1
Buder,1
”Monsteros Asylo”,1
”Flittuthorp”,1
S. Albans kloster,1
svenska,1
Skatnabo ting (Skattna),1
Hæstrydh (Hästeryd),1
”Wadh kyrka i Västergötland”,1
Vifolka tingställe,1
Atlinburg?,1
Faderstorp,1
Askari (=Askeryd),1
”Nuerberg”,1
”Rjodre” (Röra) socken,1
”Björgvin” (Bergen),1
Eldsunds (löt),1
Konungssund,1
Tröbo ting (Trögs häradsting),1
”Skor i Thiorn”,1
”Visland”,1
(Oppunda häradsting),1
(Lagmansting i) Sköllersta härad,1
Stödingstorp (nu Stenstorp),1
”Gimblæ”,1
”Aross” (Västerås),1
Öiarydh,1
”Oyarydh”,1
Axwall,1
Stäkeholm (Stegeholm),1
Lunds härads ting,1
[Saxköping],1
Selaön,1
Eldasunds ting,1
placito Lytisberg,1
”Hauger”,1
Tjurholmen,1
Tälge,1
”Hafnade” (Hamneda),1
”Skindynohagh” (Valkebo härad),1
Reyneuelde,1
”Hwmblarydh”,1
Stargard,1
(Skatnoting),1
Skatnoting (överstruket på kort),1
Holms kyrkogård,1
Kælingaby,1
Gulberg,1
Sens?,1
”Stamstad”,1
Åstorp,1
Rinkaby,1
Tolgh,1
Vemmenhög,1
”Opsala”,1
Räftele,1
”Geelestadha”,1
Sens,1
Buda(pest),1
Rydsby (=Ryssby),1
Bergha,1
Gjerna,1
Stededal ?,1
Ekebærgha,1
Brynyolfsboo,1
Vevelsta,1
Tronger (Alsen),1
(Skärkinds häradsting),1
Haghund,1
Söderby långa,1
Söderby långa i Edsbergs socken,1
Schanie in Lyby,1
Biverud i Glanshammars härad,1
Tofvarp,1
Bro kyrka på Stångenäs,1
Kullögom,1
”Holmora”,1
Kullöghom,1
Holma i Brastads socken på Stångenäs,1
(Eladsunds ting) Åkers härads ting,1
(Ökleta ting) Åkerbo härad,1
Rakarydh,1
”Edhrastradh”,1
Ängatorp,1
”Sylla”,1
”Räfsnes”,1
Sködhwe,1
Aranäs,1
Aby,1
Stenkyrka,1
Rödsvik,1
Skeda,1
tinget i ”Slantamo”,1
Lopne,1
”Firuryd”,1
Köpenhamns stora kyrka,1
Vambestad (Vamsta),1
Hovatorp,1
”Närdawi”,1
Norbohundaresting,1
Biörnö,1
”Mærdine”,1
”Vidherslef”,1
Skog,1
(Eksjö) Västra härads ting,1
Västerrekarnes tingställe,1
Värnamo ting,1
"”Misnista” (trol. Mesta i Fors socken, Västra Rekarne härad)",1
Vekelax,1
Skatmansö,1
”Byrstada”,1
Rodeke,1
Grastadhanäs /:Grofstanäs/ i Länna sn,1
Hyringsholm,1
Värsås socken -Väse härad,1
”Tödene”,1
Solberga,1
Ausosboda,1
”Wikinsta”,1
Skänningen,1
Graudenz,1
Rynk (Ring) ting,1
Täljehus,1
Mariebo,1
Harpestad,1
Botorp,1
”Skölnala”,1
Ämbenäs,1
”helghescoh”,1
Lunds landboting,1
”...sholm”,1
Sällerhög,1
Skatna ting,1
Nyköbing på Falster,1
Lagtinget på ’Baholmen’,1
Ökleta (Eklöt) ting,1
Sklandethorp,1
Gamleby/Västervik,1
"Eksjö ting, (Västra härad, Njudung)",1
Sellösa,1
Sil,1
”Frödingahult”,1
(Nyköping) på Jönåkers häradsting,1
Örsätra,1
Risla tingsplats,1
Ellasund,1
Köpenham,1
”Thorsby”,1
”Biærghem”,1
Dünamünde,1
”Rysla” ting,1
Rönö härads tingsplats,1
Tunge härad,1
Nummis i S:t Karins s:n,1
Vetlanda ting,1
”Kay” gård i Estland,1
