toraid;tora_prefLabel;tora_altLabel;parish;hundred;tora_province;note;tora_note;tora_sweref99_n;tora_sweref99_e;tora_wgs84_lat;tora_wgs84_long;tora_coordinate_accuracy;tora_source;tora_source_url;toraid_url
4711;Åkerhult;Åker;Kristberg;Bobergs h:d;Östergötland;;;6494158.1438;516493.9959;58.5875;15.2837;middle;D8:82-83;https://sok.riksarkivet.se/bildvisning/R0000165_00053;https://sok.riksarkivet.se/topografi/4711
4712;Ulvhult;;Kristberg;Bobergs h:d;Östergötland;;;6493184.8404;514253.8324;58.5789;15.2451;high;;;https://sok.riksarkivet.se/topografi/4712
4713;Bockekulla;;Kristberg;Bobergs h:d;Östergötland;;;6497107.2669;513537.3794;58.6141;15.233;high;D8:84;https://sok.riksarkivet.se/bildvisning/R0000165_00054;https://sok.riksarkivet.se/topografi/4713
4714;Kärrevalla;;Kristberg;Bobergs h:d;Östergötland;missing på TK, finns som tomtområde på HK;missing på TK, men finns som tomtområde på HK;6493433.9451;513888.5498;58.5811;15.2388;middle;D8:84;https://sok.riksarkivet.se/bildvisning/R0000165_00054;https://sok.riksarkivet.se/topografi/4714
4715;Paradis;;Kristberg;Bobergs h:d;Östergötland;Endast information från D8 är registrerad;;6491630.8676;514175.912;58.5649;15.2437;high;D18:25, Norrby:79, D8:64;https://sok.riksarkivet.se/bildvisning/90003012_00075, https://sok.riksarkivet.se/bildvisning/R0000509_00041, https://sok.riksarkivet.se/bildvisning/R0000165_00044;https://sok.riksarkivet.se/topografi/4715
4716;Hälla;;Kristberg;Bobergs h:d;Östergötland;Endast information från D8 är registrerad;Senare till Brunneby socken.;6491462.0584;515731.232;58.5633;15.2704;high;D8:67, Norrby:78;https://sok.riksarkivet.se/bildvisning/R0000165_00046, https://sok.riksarkivet.se/bildvisning/R0000509_00041;https://sok.riksarkivet.se/topografi/4716
4717;Rödja;;Kristberg;Bobergs h:d;Östergötland;;;6492367.1499;514207.4778;58.5715;15.2443;high;D8:68, Norrby:77;https://sok.riksarkivet.se/bildvisning/R0000165_00046, https://sok.riksarkivet.se/bildvisning/R0000509_00040;https://sok.riksarkivet.se/topografi/4717
4718;Högby;;Kristberg;Bobergs h:d;Östergötland;Endast information från D8 är registrerad;Högby idag beläget något mer norr om;6493596.6382;511929.7655;58.5826;15.2052;high;Norrby:75, D8:65-66;https://sok.riksarkivet.se/bildvisning/R0000509_00039, https://sok.riksarkivet.se/bildvisning/R0000165_00045;https://sok.riksarkivet.se/topografi/4718
4719;Hulttorp;;Kristberg;Bobergs h:d;Östergötland;Endast information från D8 är registrerad;;6492760.4834;511780.0463;58.5751;15.2026;high;D8:65-66, Norrby:75;https://sok.riksarkivet.se/bildvisning/R0000165_00045, https://sok.riksarkivet.se/bildvisning/R0000509_00039;https://sok.riksarkivet.se/topografi/4719
4720;Kristberg;;Kristberg;Bobergs h:d;Östergötland;Endast information från D8 är registrerad;;6492962.0832;512254.0714;58.5769;15.2107;high;D8:65-66, Norrby:75;https://sok.riksarkivet.se/bildvisning/R0000165_00045, https://sok.riksarkivet.se/bildvisning/R0000509_00039;https://sok.riksarkivet.se/topografi/4720
4721;Nordsjö;;Kristberg;Bobergs h:d;Östergötland;Endast information från D8 är registrerad;;6498220.2091;512298.3719;58.6241;15.2118;high;Norrby:75, D8:74-75;https://sok.riksarkivet.se/bildvisning/R0000509_00039, https://sok.riksarkivet.se/bildvisning/R0000165_00049;https://sok.riksarkivet.se/topografi/4721
