wkt_geom;id;toraid;note;coordinate_accuracy;sweref99_n;sweref99_e;wgs84_lat;wgs84_long;x_rt90;y_rt90;id_deprecated;namn_deprecated
Point (1894548.29354754649102688 8148178.29061289317905903);34917;2223;;medium;6525179.774154;616487.873238;58.85065878;17.01901689;1570066.01098311;6526036.30361158;4801900013;Åkra
Point (1895356.34641264099627733 8147399.99305248353630304);34920;2224;;medium;6524789.832544;616918.784788;58.84704206;17.02627575;1570492.32173157;6525641.08146697;4801900014;Sörby
Point (1873870.83229022449813783 8162307.43696733936667442);34332;2241;;medium;6532173.209779;605572.732187;58.91625076;16.83326809;1559232.61918908;6533162.93424986;4802600009;Täckberga
Point (1893032.76011933898553252 8147995.0249722870066762);34930;2228;;medium;6525061.364041;615705.383647;58.84980719;17.00540262;1569281.91670659;6525927.29506023;4801900018;Hästhagen
Point (1856797.81417514733038843 8153766.54808379244059324);34225;2242;;medium;6527528.887587;596852.652026;58.87661612;16.67989856;1550454.42227352;6528622.59464824;4802700001;Fareneby
Point (1852242.45169755886308849 8153777.56444648653268814);34234;2245;;medium;6527476.078003;594493.53198;58.87666727;16.63897704;1548094.07435733;6528598.20387105;4802700004;Skräddartorp
Point (1855428.88332899985834956 8157164.5933082140982151);34229;2244;;medium;6529267.257596;596099.987338;58.89239045;16.66760124;1549722.52214908;6530370.47074118;4802700003;Ekeby
Point (1857078.23586038709618151 8156058.9955753656104207);34235;2247;;medium;6528717.351582;596968.073843;58.88725886;16.68241763;1550584.19703934;6529809.96377373;4802700006;Ilända
Point (1853881.83700898196548223 8153496.37922807689756155);34232;2246;;medium;6527351.614362;595346.076352;58.87536164;16.65370389;1548945.33316728;6528463.43416723;4802700005;Binklinge
Point (1854697.88020599470473826 8154974.04718351922929287);34261;2249;;medium;6528125.864331;595749.716407;58.88222237;16.66103453;1549358.40591594;6529233.01358513;4802700008;Hålvedstorp
Point (1855308.7840456641279161 8150720.34199732821434736);34259;2248;;medium;6525934.654354;596120.788482;58.86246897;16.66652237;1549703.16368539;6527036.78297591;4802700007;Sommartorp
Point (1850300.85842488124035299 8167755.82033470738679171);34180;2439;;medium;6534670.479145;593313.07701;58.94151066;16.62153541;1547000.05704921;6535808.65481374;4820800001;Bregården
Point (1850017.46435314742848277 8167212.40056055411696434);34181;2440;;medium;6534386.538902;593173.384743;58.93899208;16.61898964;1546856.90506225;6535526.32728389;4820800002;Ålspånga
Point (1844964.63594564446248114 8163876.53874933533370495);34193;2444;;medium;6532602.503014;590601.980011;58.92352736;16.57359931;1544263.33127033;6533772.84447651;4820800006;Aspetorp
Point (1847148.00733905448578298 8163671.74845291394740343);34188;2443;;medium;6532523.516244;591733.638993;58.92257774;16.59321287;1545394.32736338;6533680.19225419;4820800005;Glippsta
Point (1861634.15566755807958543 8161454.64511375408619642);34203;2446;;medium;6531564.580693;599254.788393;58.91229536;16.72334415;1552905.80180145;6532630.33248043;4820800008;Bogsten
Point (1857310.14495284832082689 8160180.16735975537449121);34204;2448;;medium;6530849.422078;597034.518613;58.90638325;16.68450091;1550676.35956625;6531941.76459874;4820800010;Lena
Point (1851091.76142027438618243 8164586.96725287195295095);34254;2447;;medium;6533045.083533;593761.707694;58.92682141;16.62864022;1547429.2003078;6534177.43761326;4820800009;Storökärr
Point (1855721.98709914670325816 8158525.94839516934007406);34205;2449;;medium;6529974.363765;596234.140924;58.89870808;16.67023424;1549865.23302254;6531076.13664749;4820800011;Mosstorp
